Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
PE1;Ruth Hanlon;English Journal, The;None;1912-1922;1989-2008;JSTOR Free Early Journal Content|
PE1001;Ruth Hanlon;English Today;None;2001-2017;1988-1996;Cambridge Journals All titles|
HF5001;Crystal Boyce;Entrepreneur;1996-2003;from 1996;1996-2003;Student Resources in Context|Business Source Complete|
UF767;Lydia Lee;Environment;1975-2002;from 1975;1970-2002;EBSCO MasterFILE Complete|Taylor & Francis Journals Current Content (1997-present)|
UF767;Lydia Lee;Environment;1975-2002;from 1975;1970-2002;Sustainability Reference Center|Taylor & Francis Journals Current Content (1997-present)|
HM206;Tim Martin;Environment and Behavior;1997-1998;1997-1998 from 1999;1987-1998;General OneFile|SAGE Premier 2018|
HC110.E5;Lydia Lee;Environmental Action;1990-1990;1990-1996;1980-1990;EBSCO MasterFILE Complete|
GF80;Lydia Lee;Environmental Ethics;None;None;1994-2007;None
TD194;Lydia Lee;Environmental Quality Management;1996-2002;1996-2017;1996-2002;Business Source Complete|
AP2;All;Esquire;1996-2008;from 1996;1982-2008;Biography in Context|General OneFile|
PR1;Elizabeth Torres;Essays in Criticism;None;1997-1998 2006-2007;1988-1995;Project Muse Journals Standard Collection|Academic OneFile|
BUSINESS AND ECONOMICS - INTERNATIONAL COMMERCE;Crystal Boyce;Euromoney;1987-2007;from 1986;1987-2007;Business Source Complete|
HD9525.A2;Crystal Boyce;Europe;1992-2001;1992-2002;1988-2001;General OneFile|
HV1;Elizabeth Torres;Families in Society;None;1920-1988;1990-2008;SAGE Premier 2018|
RA421;Elizabeth Torres;Family & Community Health;1999-2000;from 1999;1995-2000;Cinahl Complete|LWW Total Access Collection 2015 - Q1 with Neurology|
HC411;Crystal Boyce;Far Eastern Economic Review;None;None;1985-2008;None
HD9000.9.U5;Lisa Hausman;FDA Consumer;1989-1990;1984-2007;1989-1990;Business Source Complete|
HV9261;Elizabeth Torres;Federal Probation;None;from 1990;1987-1989;Psychology and Behavioral Sciences Collection|
PN1993;All;Film Comment;2002-2002;from 2002;1984-2002;Academic Search Complete|
Motion Pictures;All;Film Culture;1992-1996;1992-1996;1992-1996;Communication and Mass Media Complete|
PN1993;All;Film Quarterly;None;None;1989-2009;None
SOCIAL SCIENCES: COMPREHENSIVE WORKS;Elizabeth Torres;Finance & Development;1989-2007;from 1989;1985-2007;Business Collection|
HF5679;Crystal Boyce;Financial & Accounting Systems;None;None;1990-1992;None
HG4001;Crystal Boyce;The Financial Manager;None;None;1989-1990;None
BUSINESS AND ECONOMICS - BANKING AND FINANCE;Crystal Boyce;Financial World;1995-1997;1989-1990 1992-1992 1995-1997;1993-1997;EBSCO MAS Complete|Business Source Complete|Academic Search Complete|General OneFile|
TP370;All;Food Technology;None;None;1988-2007;None
BUSINESS AND ECONOMICS;Crystal Boyce;Forbes;1990-2008;from 1990;1970-2008;Business Source Complete|
PB1;Ruth Hanlon;Foreign Language Annals;2004-2005;from 2004;1987-2005;Linguistics Database|
E744;Elizabeth Torres;Foreign Policy;None;from 1990;1975-1989;EBSCO MasterFILE Complete|Academic Search Complete|
K16;Lydia Lee;Fortnightly;1994-1994;1994-1994;1993-1994;General OneFile|
HF5001;Crystal Boyce;Fortune;None;from 1992;1962-1965;Open Access eJournals (McGill)|
DS701;All;Free China Review;None;None;1976-2000;None
HB3730;Crystal Boyce;Futures;None;from 1995;1987-1994;Elsevier ScienceDirect Journals|
CB158;All;Futurist, The;1989-1990;1989-2015;1974-1990;Science in Context|Religion and Philosophy Collection|
AP2;Elizabeth Torres;The Georgia review;None;None;1988-1996;None
QE1;All;Geotimes;None;2000-2008;1991-1994;Open Access eJournals (McGill)|
HQ1060;All;The Gerontologist;None;None;1988-2008;None
HF5549.A2;Crystal Boyce;Getting Results;1996-1997;1996-1997;1996-1997;Business Insights: Global|Business Source Complete|EBSCO MasterFILE Complete|
LC3991;Lisa Hausman;The Gifted Child Quarterly;None;from 1999;1989-1998;SAGE Premier 2018|
HF1;Crystal Boyce;Global Trade & Transportation;1993-1994;1993-1994;1993-1994;Business Insights: Global|
RA960;Elizabeth Torres;H&HN: Hospitals & Health Networks;1993-1994;1993-2017;1993-1994;EBSCO MasterFILE Complete|Academic Search Complete|
LITERARY AND POLITICAL REVIEWS;Elizabeth Torres;Harper's Magazine;1992-2007;1992-2007;1968-2008;EBSCO MasterFILE Complete|Opposing Viewpoints in Context|
L11;Lisa Hausman;Harvard Educational Review;None;None;1989-2007;None
R724;Lydia Lee;Hastings Center Report;1988-1990;1988-2017;1987-1990;Cinahl Complete|Academic OneFile|
Q3;All;The Hawaii Herald;None;None;1980-1988;None
RA773;All;Health;1992-1998;1992-2005 from 2010;1992-1998;Academic Search Complete|Alt-HealthWatch|
HV687.5.U5;Elizabeth Torres;Health and Social Work;1990-1998;1990-2017;1990-1998;Educators Reference Complete|
HEALTH FACILITIES AND ADMINISTRATION;Elizabeth Torres;Health Care Management Review;1997-1998;from 1997;1988-1998;LWW Total Access Collection 2015 - Q1 with Neurology|
HF5686.H7;Elizabeth Torres;Healthcare Financial Management;1994-1998;from 1994;1988-1998;Nursing and Allied Health Collection|
RC681.A1;Elizabeth Torres;Heart & Lung;1995-2008;from 1995;1995-2008;Elsevier ScienceDirect Journals|
T1;All;High Technology Business;1988-1989;1988-1989;1987-1989;General OneFile|
HISTORY;Trenton Tubbs;Historian;None;from 2012;1976-2002;EBSCO Historical Abstracts with Full Text|
HB1;Crystal Boyce;History of Political Economy;None;1997-2017;1975-1996;Project Muse Journals Standard Collection|
RT1;Elizabeth Torres;Holistic Nursing Practice;1999-2007;from 1999;1997-2007;Cinahl Complete|LWW Total Access Collection 2015 - Q1 with Neurology|
Medical Sciences;All;Home Healthcare Nurse;2000-2007;2000-2014;1991-2007;LWW Total Access Collection 2015 - Q1 with Neurology|
RA977.A1;Elizabeth Torres;Hospitals;1989-1993;1984-1993;1989-1993;General OneFile|Academic OneFile|
HF5549.A2;Crystal Boyce;HR Focus;1991-1993;from 1991;1991-1993;Business Collection|
HF5549.A2;Elizabeth Torres;HR Magazine;1991-1998;from 1991;1990-1998;Business Source Complete|
AP2;Elizabeth Torres;The Hudson Review;2001-2001;from 2001;1984-2001;Poetry and Short Story Reference Center|Open Access eJournals (McGill)|
P91.3;Tim Martin;Human Communication Research;1982-1996;from 1974;1982-1996;Oxford University Press Journals Online|
GN1;Crystal Boyce;Human Organization;None;None;1987-2007;None
H1;Elizabeth Torres;Human Relations;1998-1998;from 1998;1989-1998;Academic OneFile|Nursing and Allied Health Collection|
HF5549.15;Crystal Boyce;Human Resource Development Quarterly;1990-1999;from 1990;1990-1999;Wiley Online Library All Journals 2018|Business Source Complete|
HF5549.A2;Crystal Boyce;Human Resource Management;1976-2007;1972-2017;1976-2007;Business Source Complete|
JC571;Elizabeth Torres;Human Rights Quarterly;1992-1999;from 1991;1992-1999;Academic OneFile|General OneFile|
MEDICAL SCIENCES - NURSES AND NURSING;Elizabeth Torres;Image: the Journal of Nursing Scholarship;None;None;1992-1995;None
Q1;Elizabeth Torres;Impact of Science on Society;None;None;1988-1992;None
BUSINESS AND ECONOMICS - SMALL BUSINESS;Crystal Boyce;Inc;1984-1997;from 1984;1982-1997;Small Business Reference Center|
BUSINESS AND ECONOMICS - PRODUCTION OF GOODS AND SERVICES;Crystal Boyce;Industrial Development's Site Selection Handbook;None;None;1985-1988;None
TJ1;Crystal Boyce;Industrial Distribution;1989-2007;1989-2009;1976-2007;Business Collection|
HF5801;Crystal Boyce;Industrial Marketing;None;None;1975-1983;None
TS300;Crystal Boyce;Industry Week;1984-1993;from 1984;1974-1993;General OneFile|
HF5548.2;Matthew Kanekoa;Information Executive;None;from 2002;1997-2001;Business Source Complete|
LIBRARY AND INFORMATION SCIENCES;Crystal Boyce;Information Outlook;1997-2007;from 1997;1997-2007;Educators Reference Complete|
Z699.A1;Crystal Boyce;Information Retrieval & Library Automation;None;None;1988-2003;None
Z678.9.A1;Crystal Boyce;Information Technology & Libraries;1991-2004;from 1991;1989-2004;Consumer Health Complete|
COMPUTERS - COMPUTER INDUSTRY;Matthew Kanekoa;InfoWorld;1992-1997;1992-2007;1988-1997;Vocational and Career Collection|
RA410.A1;All;Inquiry;2001-2007;from 2001;1988-2007;Cinahl Complete|
HG4501;Crystal Boyce;Institutional Investor;1997-2007;from 1997;1997-2007;Business Source Complete|General OneFile|
HD28;Crystal Boyce;International Management;None;None;1988-1994;None
Religions And Theology;All;International Monetary Fund Staff Papers;None;None;1986-1998;None
RT1;Elizabeth Torres;International Nursing Review;None;None;1996-2007;None
HV1;Elizabeth Torres;International Social Work;None;from 1999;1990-1998;SAGE Premier 2018|
HF1410;Crystal Boyce;International Trade Forum;1990-1990;from 1990;1988-1990;Academic OneFile|Business Source Complete|
Conservation;All;International Wildlife;1990-1990;1990-2002;1988-1990;EBSCO MasterFILE Complete|
Computers - Internet;All;InternetWeek;1998-2001;1997-2006;1998-2001;Business Insights: Global|
P1.A1;Ruth Hanlon;IRAL, International Review of Applied Linguistics in Language Teaching;None;2000-2013;1988-1999;Linguistics Database|
TK5105.7;Matthew Kanekoa;IT Architect;2005-2006;2005-2006;2005-2006;Academic OneFile|
R15;All;JAMA: Journal of the American Medical Association;1998-2008;from 1998;1990-2008;American Medical Association|
HC461;Crystal Boyce;Japan 21st;None;None;1992-1996;None
DS801;Elizabeth Torres;Japan Quarterly;None;None;1987-2001;None
LB1050;Lisa Hausman;Journal of Adolescent and Adult Literacy;1995-1999;1989-2011;1995-1999;Literature Resource Center|
RJ550;All;Journal of Adolescent Health;1996-2006;from 1995;1996-2006;Elsevier ScienceDirect Journals|
E151;Trenton Tubbs;Journal of American Studies;1990-1996;1990-1996;1990-1996;Cambridge Journals All titles|
HF3790.8;Crystal Boyce;Journal of Asian business;None;None;1994-1995;None
DS1;Trenton Tubbs;Journal of Asian history;None;None;1987-1995;None
HG23;Crystal Boyce;Journal of Banking and Finance;None;from 1995;1988-1994;Elsevier ScienceDirect Journals|
PN1991;Lisa Hausman;Journal of Broadcasting and Electronic Media;1991-1996;from 1985;1991-1996;Academic OneFile|
BUSINESS AND ECONOMICS;Crystal Boyce;Journal of Business and Psychology;1995-1996;1986-2017;1995-1996;SCELC Springer Nature 2016 eJournals - Hosted by Springer|Business Source Complete|
BUSINESS AND ECONOMICS;Crystal Boyce;Journal of Business Ethics;1987-1996;from 1982;1987-1996;Business Source Complete|
HF5001;Crystal Boyce;Journal of Business Research;None;from 1995;1988-1994;Elsevier ScienceDirect Journals|
RC674;Elizabeth Torres;Journal of cardiovascular nursing;None;from 1998;1989-1995;Cinahl Complete|
LB2343.5;Crystal Boyce;Journal of Career Planning & Employment;None;None;1996-1999;None
RJ499.A1;Elizabeth Torres;Journal of Child and Adolescent Psychiatric and Mental Health Nursing;None;None;1991-1993;None
RJ499.A1;Elizabeth Torres;Journal of Child and Adolescent Psychiatric Nursing;None;None;1994-1998;None
RJ499.A1;Tim Martin;Journal of Child Psychology & Psychiatry;None;2004-2017;1987-1997;Psychology and Behavioral Sciences Collection|
Q183.U6;Lisa Hausman;Journal of College Science Teaching;None;from 2005;1988-1994;Gale GREENR|
P87;Elizabeth Torres;Journal of Communication;1971-1975 1978-2005;from 1951;1971-1975 1978-2005;Communication and Mass Media Complete|
P87;Elizabeth Torres;Journal of Communication;1971-1975 1978-2005;from 1951;1971-1975 1978-2005;Communication and Mass Media Complete|
KF3509.A15;Crystal Boyce;Journal of Compensation and Benefits;None;None;1988-2001;None
QA76.27;Matthew Kanekoa;Journal of Computer Information Systems;2000-2002;from 1998;2000-2002;Business Source Complete|
QA20.C65;Lydia Lee;Journal of Computers in Mathematics and Science Teaching;2000-2006;2000-2006;1987-2007;Academic OneFile|Educators Reference Complete|
DS1;Trenton Tubbs;Journal of Contemporary Asia;None;from 1998;1987-1996;Academic Search Complete|
HT101;Crystal Boyce;Journal of Contemporary Ethnography;1997-1998;1997-1998 from 1999;1987-1998;Academic OneFile|Nursing and Allied Health Collection|
BF408;Tim Martin;The Journal of Creative Behavior;None;None;2004-2007;None
BF728;Tim Martin;Journal of Cross-Cultural Psychology;1997-1998;1997-1998 from 1999;1990-1998;SAGE Premier 2018|Nursing and Allied Health Collection|
HC101;Crystal Boyce;Journal of Economics and Business;None;from 1995;1988-1994;Elsevier ScienceDirect Journals|
RT120.E4;Elizabeth Torres;Journal of Emergency Nursing;1996-2006;from 1995;1996-2006;Elsevier ScienceDirect Journals|
E184.A1;Trenton Tubbs;The Journal of Ethnic Studies;None;None;1981-1992;None
HD28;Crystal Boyce;The Journal of European Business;None;None;1989-1994;None
L11;Lisa Hausman;Journal of Experimental Education, The;1994-1996;from 1994;1987-1996;Taylor & Francis Journals Current Content (1997-present)|Psychology and Behavioral Sciences Collection|
HQ1;Tim Martin;Journal of Family and Economic Issues;1997-1998;1997-2017;1992-1998;SCELC Springer Nature 2016 eJournals - Hosted by Springer|
HQ1;Elizabeth Torres;Journal of Family Issues;None;1997-1998 from 1999;1983-1996;SAGE Premier 2018|General OneFile|
RC954;Elizabeth Torres;Journal of Gerontological Nursing;2003-2007;2003-2010;1996-2007;Cinahl Complete|
HV1451;All;Journal of Gerontological Social Work;None;from 1998;1991-1996;Taylor & Francis Journals Current Content (1997-present)|
RC952.A1;All;Journal of Gerontology;None;None;1987-1994 2001-2008;None
RC952.A1;All;Journal of Gerontology;None;None;1987-1994 2001-2008;None
RA410.A1;Elizabeth Torres;Journal of Health Care Finance;None;None;1994-1999;None
LB1715;Tim Martin;The Journal of Humanistic Counseling, Education and Development;1999-2001;1999-2010;1999-2001;Psychology and Behavioral Sciences Collection|
LB1715;Tim Martin;Journal of Humanistic Counseling, Education and Development;1994-1999;1994-1999 2001-2010;1987-1999;General OneFile|Educators Reference Complete|
BF1;Tim Martin;Journal of Humanistic Psychology, The;1997-1998;1997-1998 from 1999;1987-1998;General OneFile|Academic OneFile|
HF1;Crystal Boyce;Journal of International Business Studies;1990-1990;from 1990;1982-1990;Springer|Business Source Complete|
K10;Crystal Boyce;Journal of Law & Economics;1997-2002;from 1997;1979-2002;University of Chicago Press Journals Current Access all titles|
GV1;All;Journal of Leisure Research;None;1993-2016;1987-1991;Educators Reference Complete|
HG1507;Crystal Boyce;Journal of Lending and Credit Risk Management, The;1996-2000;1996-2000;1996-2000;Business Insights: Global|
MEDICAL SCIENCES - NURSES AND NURSING;Elizabeth Torres;Journal of Midwifery & Women's Health;None;None;2000-2007;None
BF353;Tim Martin;Journal of Nonverbal Behavior;None;1992-2017;1987-1991;Communication and Mass Media Complete|SCELC Springer Nature 2016 eJournals - Hosted by Springer|
MEDICAL SCIENCES - NURSES AND NURSING;Elizabeth Torres;Journal of Nurse Midwifery;None;None;1996-1999;None
RT89;Elizabeth Torres;Journal of Nursing Administration;1996-2001;from 1996;1995-2001;LWW Total Access Collection 2015 - Q1 with Neurology|
MEDICAL SCIENCES - NURSES AND NURSING;Elizabeth Torres;Journal of Nursing Education;1995-2008;1962-2010;1995-2008;Cinahl Complete|
QP141.A1;All;Journal of Nutrition Education;1995-2001;1995-2001;1994-2001;Elsevier ScienceDirect Journals|
TX341;All;Journal of Nutrition in Recipe & Menu Development;None;from 1998;1996-1996;Taylor & Francis Journals Current Content (1997-present)|
RG951;Elizabeth Torres;Journal of Obstetric, Gynecologic, and Neonatal Nursing;1997-2007;1997-2015 2017-2017;1996-2007;Wiley Online Library 2015|Elsevier ScienceDirect Journals|
QA76.9.M3;Crystal Boyce;Journal of Organizational and End User Computing;2004-2007;2004-2016;2004-2007;Student Resources in Context|
HD56;Crystal Boyce;Journal of Organizational Excellence;2000-2004;2000-2006;2000-2004;Business Source Complete|
BF1001;Tim Martin;The Journal of Parapsychology;1992-1993;from 1992;1987-1993;Academic OneFile|
HV7551;Elizabeth Torres;Journal of Police Science and Administration;None;None;1987-1988 1990-1990;None
HV7551;Elizabeth Torres;Journal of Police Science and Administration;None;None;1987-1988 1990-1990;None
PN1993;All;Journal of Popular Film and Television;1990-1998;from 1990;1988-1998;Taylor & Francis Journals Current Content (1997-present)|Communication and Mass Media Complete|
HG4501;Crystal Boyce;Journal of Portfolio Management;2000-2001;2000-2016;1988-2001;Business Insights: Global|
RT1;Elizabeth Torres;Journal of Practical Nursing;None;None;1996-2007;None
RT1;Elizabeth Torres;Journal of Professional Nursing;None;None;1991-2005;None
HQ768;Tim Martin;The Journal of Psychohistory;2007-2007;from 2007;1986-2007;Academic Search Complete|
RC440;Elizabeth Torres;Journal of Psychosocial Nursing & Mental Health Services;2003-2008;2003-2010;1995-2008;Cinahl Complete|
LB1050;Lisa Hausman;Journal of Reading;None;None;1989-1995;None
HV6001;Elizabeth Torres;Journal of Research in Crime and Delinquency;1997-1998;1997-1998 from 1999;1990-1998;Academic OneFile|General OneFile|
HG1501;Crystal Boyce;Journal of Retail Banking;1993-1995 1995-1995;1990-1995 1995-1999;1993-1995;Business Insights: Global|Academic OneFile|
LB3401;Lisa Hausman;The Journal of School Health;1989-1996;1989-2009;1989-1996;Educators Reference Complete|
RC467;Tim Martin;Journal of Social and Clinical Psychology;None;None;1987-2003;None
HV1;Elizabeth Torres;Journal of Social Policy;None;2010-2013;1987-1996;Cambridge Journals All titles|
HV11;Elizabeth Torres;Journal of Social Work Education;1991-1996;from 1990;1991-1996;Academic Search Complete|General OneFile|
H1;Crystal Boyce;Journal of Social, Political and Economic Studies, The;None;2009-2016;1990-1999;General OneFile|
HD28;Crystal Boyce;Journal of Systems Management;1989-1996;1989-1996;1989-1996;Business Insights: Global|
LB1705;Lisa Hausman;Journal of Teacher Education;1997-1998;from 1997;1986-1998;General OneFile|
BV1460;All;Journal of the American Academy of Religion;None;1996-2017;1992-1992;Academic Search Complete|
RM214;All;Journal of the American Dietetic Association;1991-1994;1989-2011;1991-1994;General OneFile|Academic OneFile|
MEDICAL SCIENCES - NURSES AND NURSING;Elizabeth Torres;Journal of the Association of Nurses in AIDS Care;None;from 1995;1993-1994;Academic OneFile|
RJ245;Elizabeth Torres;Journal of the Society of Pediatric Nurses;None;None;1996-2001;None
G155.A1;Crystal Boyce;Journal of Travel Research;None;from 1998;1990-1997;Academic OneFile|Nursing and Allied Health Collection|
RC952.A1;Tim Martin;The journals of Gerontology. Series B, Psychological Sciences and Social Sciences;None;None;1995-2007;None
R31;All;The Lancet;None;from 1995;1991-1994;Elsevier ScienceDirect Journals|
P1;Ruth Hanlon;Language;1990-1999;from 1974;1990-1999;Project Muse Journals Standard Collection|
LB1576.A1;Ruth Hanlon;Language Arts;None;None;1989-2008;None
P1;Ruth Hanlon;Language Learning;None;None;1980-1994;None
AP20;All;Le Nouvel Observateur;None;None;from 1994;None
LB1028.5;Lisa Hausman;Learning and Leading with Technology;2000-2008;2000-2014;1995-2008;Academic OneFile|
L13;Lisa Hausman;Liberal Education;1990-2001;from 1990;1987-2001;Academic OneFile|
AP2;All;Life;1996-2000;1936-1972 1996-2000;1984-2000;Military and Government Collection|EBSCO MasterFILE Complete|
LC5251;Lisa Hausman;Lifelong Learning;None;None;1988-1989;None
HQ1;Tim Martin;Lifestyles;None;None;1985-1991;None
PN2;Elizabeth Torres;Literature East & West;None;None;1999-1999;None
General Interest Periodicals - Canada;All;Maclean's;1994-2008;from 1989;1994-2008;EBSCO MAS Complete|
TT500;Jerome Nicolas;Mademoiselle;None;None;1987-2001;None
HF5686.C8;Crystal Boyce;Management Accounting;1996-1999;1991-1999;1996-1999;Academic OneFile|
HD30.3;Crystal Boyce;Management Communication Quarterly;None;from 1999;1987-1998;SAGE Premier 2018|
HD28;Crystal Boyce;Management International Review;1992-2002;from 1992;1975-2002;General OneFile|
HF5548;Crystal Boyce;Managing Office Technology;1993-1996;1993-1998;1993-1996;Academic OneFile|
SH11;All;Marine Fisheries Review;1996-2001;from 1971;1996-2001;Science Reference Center|
TN264;All;Marine Georesources & Geotechnology;1998-2001;from 1998;1996-2001;Computer Source: Consumer Edition|
GC1;All;Marine Technology Society Journal;1999-2000;1999-2016;1996-2000;Ingenta Journals|
HQ536;Elizabeth Torres;Marriage & Family Review;None;from 1998;1995-1995;Taylor & Francis Journals Current Content (1997-present)|
AS30.M3;Elizabeth Torres;Massachusetts Review;1990-2002;from 1990;1988-2002;Academic Search Complete|
QA1;Lydia Lee;The Mathematical Intelligencer;1996-2001;1993-2017;1996-2001;SCELC Springer Nature 2016 eJournals - Hosted by Springer|Science Reference Center|
RG951;Elizabeth Torres;MCN, American Journal of Maternal Child Nursing;1996-2008;from 1996;1995-2008;LWW Total Access Collection 2015 - Q1 with Neurology|
HF6146.T42;Crystal Boyce;Media Week;1998-2007;1991-2011;1998-2007;Contemporary Womens Issues|
HG4028.M4;Crystal Boyce;Mergers and Acquisitions;1993-2007;from 1991;1993-2007;Academic OneFile|Contemporary Womens Issues|
PS379;Elizabeth Torres;MFS Modern Fiction Studies;None;from 1985;1983-1984;Project Muse Journals Standard Collection|
QR1;Lydia Lee;Microbiological Reviews;1995-1996;1978-1996;1995-1996;Europe PubMed Central|
DS1;Elizabeth Torres;Middle East Journal;2006-2007;from 2006;1987-2007;Academic Search Complete|Project Muse Journals Standard Collection|
RG950;Elizabeth Torres;Midwifery;1999-2007;from 1995;1999-2007;Elsevier ScienceDirect Journals|
RA418.3.U6;Elizabeth Torres;The Milbank Quarterly;1997-1998;1997-2017;1987-1998;Business Source Complete|
